id,name
CTHSSV,Phòng Công tác học sinh sinh viên
CLC,TDT Creative Language Center
DH,Phòng Đại học
DTMT,Phòng Điện Toán Và Máy Tính
KCNTT,Khoa Công nghệ thông tin
KDDT,Khoa Điện – Điện tử
KGDQT,Khoa giáo dục quốc tế
KL,Khoa Luật
KLDCD,Khoa Lao động công đoàn
KMTBHLD,Khoa Môi trường và bảo hộ lao động
KMTCN,Khoa Mỹ thuật công nghiệp
KQTKD,Khoa Quản trị kinh doanh
KTCNH,Khoa Tài chính ngân hàng
KTKDCL,Phòng Khảo Thí Và Kiểm Định Chất Lượng
SDH,Phòng Sau Đại Học
TC,Phòng Tài Chính
TTDTPTXH,Trung Tâm Đào Tạo Phát Triển Xã Hội
TTHTDNVCSV,Trung tâm hợp tác doanh nghiệp và cựu sinh viên
TTNNTHBDVH,Trung tâm ngoại ngữ-tin học –bồi dưỡng văn hóa
TTTH,Trung Tâm Tin Học
TTTPKHQLUDCN,Trung tâm phát triển Khoa học quản lý và Ứng dụng công nghệ
VCSKTKD,Viện chính sách kinh tế và kinh doanh
